Order=(7, 0, 2), Seed=25, Evidence=-1066.3457180815258, Error=0.2288689257349718, V=1.0, MaxLogL=-1033.7265625, BIC=2167.1958688128516, D0Occam=-2.3698086588843257, NetPriorVolume=-2.3698086588843257, Posterior=-3.434479244169779
Order=(7, 0, 3), Seed=25, Evidence=-1066.3963618604548, Error=0.24203793332079593, V=1.0, MaxLogL=-1033.60888671875, BIC=2172.50178079551, D0Occam=-2.865692513931052, NetPriorVolume=-2.865692513931052, Posterior=-3.485123023098822
Order=(7, 0, 4), Seed=25, Evidence=-1067.3490158805807, Error=0.21420216822365676, V=1.0, MaxLogL=-1031.47216796875, BIC=2173.7696068406685, D0Occam=-3.009444936925862, NetPriorVolume=-3.009444936925862, Posterior=-4.437777043224742
Order=(7, 0, 5), Seed=25, Evidence=-1067.874346914042, Error=0.2648065060329004, V=1.0, MaxLogL=-1028.7662353515625, BIC=2173.899005151452, D0Occam=-3.377849926964826, NetPriorVolume=-3.377849926964826, Posterior=-4.963108076686012
Order=(7, 0, 6), Seed=25, Evidence=-1068.2215842880282, Error=0.22764372039043423, V=1.0, MaxLogL=-1025.9888916015625, BIC=2173.8855811966105, D0Occam=-3.185675549616402, NetPriorVolume=-3.185675549616402, Posterior=-5.31034545067223
Order=(7, 0, 7), Seed=25, Evidence=-1069.2674750465035, Error=0.2766565008692595, V=1.0, MaxLogL=-1024.2373046875, BIC=2175.923670913644, D0Occam=-4.010668585941408, NetPriorVolume=-4.010668585941408, Posterior=-6.356236209147482
Order=(7, 0, 8), Seed=25, Evidence=-1071.0317736368333, Error=0.29643499342790797, V=1.0, MaxLogL=-1023.7327880859375, BIC=2180.4559012556774, D0Occam=-3.3394574262546803, NetPriorVolume=-3.3394574262546803, Posterior=-8.120534799477355
Order=(7, 0, 9), Seed=25, Evidence=-1072.09851750913, Error=0.2592294407148619, V=1.0, MaxLogL=-1022.0914306640625, BIC=2182.7144499570854, D0Occam=-3.375205687459697, NetPriorVolume=-3.375205687459697, Posterior=-9.187278671774038
Order=(7, 0, 10), Seed=25, Evidence=-1073.6643120120855, Error=0.34958155289918336, V=1.0, MaxLogL=-1019.9075317382812, BIC=2183.8879156506814, D0Occam=-3.0580548185985847, NetPriorVolume=-3.0580548185985847, Posterior=-10.75307317472948
Order=(8, 0, 0), Seed=25, Evidence=-1065.8735803076938, Error=0.21130045469151654, V=1.0, MaxLogL=-1034.687255859375, BIC=2169.1172555316016, D0Occam=-2.644342504561006, NetPriorVolume=-2.644342504561006, Posterior=-2.962341470337833
Order=(8, 0, 1), Seed=25, Evidence=-1066.0030401245103, Error=0.21898864319016137, V=1.0, MaxLogL=-1033.6739501953125, BIC=2172.631907748635, D0Occam=-2.5139369586794738, NetPriorVolume=-2.5139369586794738, Posterior=-3.0918012871543397
Order=(8, 0, 2), Seed=25, Evidence=-1066.3352190403486, Error=0.25015155220974933, V=1.0, MaxLogL=-1033.76953125, BIC=2178.3643334031685, D0Occam=-2.382917820706396, NetPriorVolume=-2.382917820706396, Posterior=-3.4239802029926523
Order=(8, 0, 3), Seed=25, Evidence=-1067.1722832539047, Error=0.24647168436730935, V=1.0, MaxLogL=-1032.820556640625, BIC=2182.007647729577, D0Occam=-2.5845965565319657, NetPriorVolume=-2.5845965565319657, Posterior=-4.261044416548657
Order=(8, 0, 4), Seed=25, Evidence=-1067.8746113881991, Error=0.21935477998852557, V=1.0, MaxLogL=-1028.509033203125, BIC=2178.9258643997355, D0Occam=-2.7504622604742783, NetPriorVolume=-2.7504622604742783, Posterior=-4.963372550843133
Order=(8, 0, 5), Seed=25, Evidence=-1068.4363245137042, Error=0.26388616559914707, V=1.0, MaxLogL=-1027.3123779296875, BIC=2182.073817398019, D0Occam=-3.204435954335001, NetPriorVolume=-3.204435954335001, Posterior=-5.525085676348226
Order=(8, 0, 6), Seed=25, Evidence=-1069.4167182018107, Error=0.21834029807161873, V=1.0, MaxLogL=-1025.7979736328125, BIC=2184.5862723494274, D0Occam=-3.1722006147028523, NetPriorVolume=-3.1722006147028523, Posterior=-6.505479364454686
Order=(8, 0, 7), Seed=25, Evidence=-1069.2424139982325, Error=0.24821532556158152, V=1.0, MaxLogL=-1023.5185546875, BIC=2185.5686980039604, D0Occam=-4.137711369834244, NetPriorVolume=-4.137711369834244, Posterior=-6.331175160876455
Order=(8, 0, 8), Seed=25, Evidence=-1070.639768365077, Error=0.2902708039924971, V=1.0, MaxLogL=-1020.9730834960938, BIC=2186.0190191663064, D0Occam=-3.745149075479822, NetPriorVolume=-3.745149075479822, Posterior=-7.7285295277210935
Order=(8, 0, 9), Seed=25, Evidence=-1071.730357061382, Error=0.28575859180173957, V=1.0, MaxLogL=-1017.7723999023438, BIC=2185.158915523965, D0Occam=-4.32950995875055, NetPriorVolume=-4.32950995875055, Posterior=-8.819118224025942
Order=(8, 0, 10), Seed=25, Evidence=-1072.2154226858738, Error=0.25995918923644257, V=1.0, MaxLogL=-1018.4667358398438, BIC=2192.0888509441234, D0Occam=-4.317067912202147, NetPriorVolume=-4.317067912202147, Posterior=-9.304183848517823
Order=(9, 0, 0), Seed=25, Evidence=-1065.7728682694974, Error=0.2210568285593187, V=1.0, MaxLogL=-1032.2994384765625, BIC=2175.4241478562935, D0Occam=-2.312529631661801, NetPriorVolume=-2.312529631661801, Posterior=-2.861629432141399
Order=(9, 0, 1), Seed=25, Evidence=-1066.322234471208, Error=0.26643523946019837, V=1.0, MaxLogL=-1032.5745849609375, BIC=2181.515704370202, D0Occam=-2.5541100497902214, NetPriorVolume=-2.5541100497902214, Posterior=-3.4109956338520533
