,,phi_1,theta_1,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,
166,0.0,0.83922637,-0.60142386,4.552764,2.1660347,0.21007417,-2.554769e+07,-3.47365e+08,484
167,0.0,-0.5368378,-0.021870026,13.216638,1.6014235,-0.015874997,-2.518953e+07,,483
168,0.0,-0.50463516,-0.23665011,10.67452,1.023506,0.4063259,-2.4804374e+07,,482
169,0.0,-0.35569552,-0.54405135,14.224816,0.9047241,0.6012109,-2.4792276e+07,-7.953328e+07,481
170,0.0,-0.3910668,-0.55233127,7.446964,0.45318845,0.84629095,-2.4768584e+07,,480
171,0.0,-0.5446642,-0.31082356,9.859573,0.82952183,0.110957764,-2.469011e+07,,479
172,0.0,-0.029280048,-0.29325506,10.049557,1.2940404,2.3250816,-2.4420764e+07,,478
173,0.0,0.25544477,-0.121879496,12.0002365,2.6250947,-0.52708346,-2.3902236e+07,,477
174,0.0,-0.90126,-0.2555159,10.464064,0.7493398,0.19308916,-2.322396e+07,,476
175,0.0,0.6307275,-0.5301502,5.7114396,-1.317379,-1.5397834,-2.2878748e+07,-3.47365e+08,475
176,0.0,-0.0016781611,-0.06327578,12.795554,2.158747,-0.47720543,-2.2619334e+07,-7.953328e+07,474
177,0.0,-0.83054906,-0.5990354,7.0245,0.2790285,2.8723383,-2.2590708e+07,,473
178,0.0,-0.43523368,0.019547299,13.73633,1.7588558,-0.96326256,-2.2589954e+07,,472
179,0.0,0.41438264,-0.62179893,9.037582,1.0497874,0.036300752,-2.2416202e+07,-3.2306556e+07,471
180,0.0,0.20050538,-0.36003336,11.008049,1.5732735,0.42218825,-2.2136696e+07,-7.953328e+07,470
181,0.0,0.18358383,0.18985254,12.054102,3.0870588,-0.6547263,-2.1466992e+07,-3.2306556e+07,469
182,0.0,-0.17670563,-0.68396145,6.607076,0.3125857,2.7249625,-2.1423318e+07,-3.47365e+08,468
183,0.0,0.08334467,-0.19280063,11.171908,1.7256738,0.7546621,-2.137798e+07,,467
184,0.0,0.23508732,-0.34578046,9.487261,1.4166282,0.57458204,-2.1168348e+07,,466
185,0.0,-0.65434885,0.59896886,16.75198,2.8127885,0.3511859,-2.0990148e+07,-3.47365e+08,465
186,0.0,0.28998354,-0.38998774,9.027426,1.3452607,-1.5972159,-2.0866044e+07,,464
187,0.0,-0.17832886,0.44749543,7.700761,1.613729,-0.5243633,-2.0239032e+07,-3.2306556e+07,463
188,0.0,-0.852245,0.02244852,13.773075,1.2816585,2.5569031,-1.9719572e+07,,462
189,0.0,-0.085765176,-0.09087026,12.371453,1.7378289,-0.030348308,-1.9558764e+07,,461
190,0.0,-0.21060118,0.15616474,16.707726,2.6712904,-0.99995935,-1.9488478e+07,-3.47365e+08,460
191,0.0,0.8692284,-0.60250777,1.1057884,0.5489833,0.31475025,-1.8617042e+07,-3.47365e+08,459
192,0.0,0.11892603,-0.014465476,7.101935,1.2767028,0.737372,-1.7954398e+07,-3.2306556e+07,458
193,0.0,-0.7375317,0.18616012,15.915727,1.7307261,1.6810358,-1.7629034e+07,,457
