,,theta_1,theta_2,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,
213,0.0,0.24553357,-0.55183816,7.451502,3.7715027,-5.4157388e+07,,987
214,0.0,-0.12654516,-0.21523462,10.916009,-5.1885824,-5.3123904e+07,,986
215,0.0,0.16328773,0.16632217,15.649062,14.988739,-5.309332e+07,,985
216,0.0,-0.9621547,0.106151134,14.851876,-1.5492907,-5.264501e+07,,984
217,0.0,-1.258245,0.40514243,18.620707,1.961531,-5.1981092e+07,-6.279057e+07,983
218,0.0,-0.24452282,-0.63471794,6.7115917,0.5877094,-5.138106e+07,,982
219,0.0,0.460453,-0.3474927,9.46922,-7.4446306,-5.0948984e+07,,981
220,0.0,-1.024384,0.6725925,22.977798,10.438701,-5.02774e+07,,980
221,0.0,-0.38969305,-0.41082513,8.814991,-1.2413543,-4.9838028e+07,,979
222,0.0,-0.6982888,0.1626479,15.599879,5.0260186,-4.9048884e+07,,978
223,0.0,-0.18109846,-0.41405126,10.318442,2.9021456,-4.8882228e+07,-1.0384424e+08,977
224,0.0,0.11299099,-0.061926417,12.722801,9.237167,-4.875289e+07,,976
225,0.0,0.19596042,-0.44301364,8.492319,4.410705,-4.846026e+07,,975
226,0.0,-0.35132828,-0.19460219,11.151248,3.4493494,-4.7145452e+07,,974
227,0.0,-0.16656485,-0.22705351,11.921893,-4.8969135,-4.6715084e+07,-6.279057e+07,973
228,0.0,-0.010884416,-0.08630384,12.426576,-7.558283,-4.6344984e+07,,972
229,0.0,-0.81861544,0.2719435,28.550764,8.689567,-4.5959748e+07,-6.279057e+07,971
230,0.0,-1.2726395,0.8177173,25.25063,-9.217609,-4.593758e+07,,970
231,0.0,-0.36332193,-0.19384003,11.159987,3.3187237,-4.5801824e+07,,969
232,0.0,0.1937184,-0.29443035,10.036787,-6.041011,-4.570059e+07,,968
233,0.0,0.36259472,-0.1841124,11.2718115,8.8783655,-4.564448e+07,,967
234,0.0,-0.5989688,0.028630905,13.85152,3.9555876,-4.493686e+07,,966
235,0.0,-0.31181973,-0.3279622,9.676084,-2.3034637,-4.420507e+07,,965
236,0.0,-1.2561249,0.48030144,20.074795,2.9654336,-4.416098e+07,,964
237,0.0,-0.6934908,0.1650577,18.114988,5.592117,-4.366931e+07,-6.279057e+07,963
238,0.0,-0.77290905,0.1829529,15.872488,4.232619,-4.3063776e+07,,962
239,0.0,-0.4618583,-0.06117947,12.73193,-3.9368145,-4.2758524e+07,,961
240,0.0,-0.030583758,-0.4483771,8.439204,2.8057048,-4.1339748e+07,,960
241,0.0,-0.36531126,0.16497712,15.631052,7.8647275,-4.044608e+07,,959
242,0.0,-1.0330683,0.78539157,24.73875,-11.685977,-4.0386668e+07,,958
243,0.0,-0.26812753,0.39009333,15.611676,10.986636,-4.0266296e+07,-1.0384424e+08,957
244,0.0,-0.8217898,0.25700754,16.88308,-4.6143556,-4.019709e+07,,956
245,0.0,0.23557486,-0.6067571,6.9560604,-2.7445917,-4.0008764e+07,,955
246,0.0,-0.7042152,0.29321712,17.38629,-6.402198,-3.990968e+07,,954
247,0.0,-0.19332275,0.14590342,15.376563,-9.058906,-3.9098576e+07,,953
248,0.0,0.28852382,-0.09407797,12.332802,9.03525,-3.8452276e+07,,952
249,0.0,0.46264616,-0.17343318,11.395215,-9.006454,-3.8416788e+07,,951
250,0.0,-0.6965549,0.058658186,14.235361,-3.1594467,-3.8171484e+07,,1000
251,0.0,0.25544477,-0.121879496,12.0002365,8.125473,-3.6459536e+07,,999
252,0.0,0.082346246,-0.29766482,9.045603,-4.236919,-3.6324948e+07,-1.0384424e+08,998
253,0.0,-0.852245,0.02244852,13.773075,1.4082929,-3.6262652e+07,,997
254,0.0,-0.7509009,0.06399618,13.349241,2.495042,-3.6158044e+07,-1.1908009e+09,996
255,0.0,-0.18936823,0.016551504,13.698436,6.7000413,-3.570202e+07,,995
256,0.0,-1.5788742,0.8481034,25.734589,4.0853105,-3.5581116e+07,,994
257,0.0,-0.5446642,-0.31082356,9.859573,-0.8523909,-3.5538296e+07,,993
258,0.0,0.12975483,-0.24738741,10.554477,-5.4837775,-3.537732e+07,,992
259,0.0,-0.35941193,-0.4524289,8.399201,0.93999326,-3.5296804e+07,,991
260,0.0,-0.23852627,-0.22251542,10.833601,-3.4390254,-3.5289188e+07,,990
261,0.0,0.05796675,-0.7700638,5.602991,0.9494188,-3.4754812e+07,,989
262,0.0,0.41652685,-0.17313986,11.398613,-8.241796,-3.4561092e+07,,988
263,0.0,0.5769398,0.010571013,8.483202,7.7569227,-3.3944664e+07,-3.8416788e+07,987
264,0.0,-0.4979462,0.5201212,20.664988,12.15706,-3.391019e+07,,986
265,0.0,-0.30971768,-0.14783461,11.693718,-3.6507306,-3.371335e+07,,985
266,0.0,0.13441333,-0.37039164,8.122992,-3.5642042,-3.3607364e+07,-6.279057e+07,984
267,0.0,0.7075886,0.04728997,14.089491,14.144509,-3.3494096e+07,,983
268,0.0,-0.33550322,0.34927475,12.041955,-6.827829,-3.2004998e+07,-6.279057e+07,982
269,0.0,0.25388542,-0.27998024,10.194367,-5.543898,-3.1825116e+07,,981
270,0.0,0.032497562,-0.2474808,10.553436,-4.6195703,-3.1705178e+07,,980
271,0.0,-1.3448666,0.5655741,21.345863,-2.6214786,-3.1530642e+07,,979
272,0.0,0.3070417,-0.37363598,9.196071,4.7661214,-3.1450858e+07,,978
273,0.0,-0.14249653,-0.14441754,11.733851,-4.6372623,-3.1319076e+07,,977
274,0.0,-1.0010457,0.35215783,18.217655,3.5422065,-3.12432e+07,,976
275,0.0,-1.6125871,0.662154,22.816908,-0.62785095,-3.0850684e+07,,975
276,0.0,-0.21396777,-0.40863475,8.837191,-1.8251749,-3.0308392e+07,,974
277,0.0,0.41287085,-0.5174385,7.772073,3.7879114,-3.0197004e+07,,973
278,0.0,0.79781884,-0.12047706,12.016907,10.942216,-3.0148752e+07,,972
279,0.0,-0.42748576,-0.31497487,9.41809,1.3241357,-3.0012946e+07,-3.8416788e+07,971
280,0.0,0.24662542,-0.51501423,7.79496,3.0857613,-2.980316e+07,,970
281,0.0,0.1512203,0.13799946,15.271622,10.614605,-2.973541e+07,,969
282,0.0,-0.963335,0.9003357,26.572649,-13.308565,-2.9286986e+07,,968
283,0.0,-0.38211423,0.3794343,18.607384,9.908494,-2.9170296e+07,,967
284,0.0,0.01029348,-0.18891497,11.216535,-4.917568,-2.9066392e+07,,966
285,0.0,-0.9928325,0.5225708,20.701487,5.824644,-2.883712e+07,,965
286,0.0,0.023673682,-0.36283106,9.30844,3.249469,-2.8406614e+07,,964
287,0.0,-0.36364186,0.74027205,9.315924,-6.727538,-2.819994e+07,-3.8416788e+07,963
288,0.0,-0.27874613,-0.37953717,9.135012,1.6417859,-2.7963316e+07,,962
289,0.0,-0.42693758,0.17958447,15.827127,-6.1943703,-2.7622162e+07,,961
290,0.0,0.30784243,-0.55198395,7.45016,-2.9278846,-2.752047e+07,,960
291,0.0,-0.5368378,-0.021870026,13.216638,3.0071173,-2.70377e+07,,959
292,0.0,-0.10062576,-0.46194974,8.305628,1.8733692,-2.6944584e+07,,958
293,0.0,0.20395158,-0.20131803,11.50284,-5.9214563,-2.6918008e+07,-1.1908009e+09,957
294,0.0,-0.7375317,0.18616012,15.915727,3.6536307,-2.6678452e+07,,956
295,0.0,0.31426987,-0.24203895,10.614185,-5.7584167,-2.6145544e+07,,955
296,0.0,-0.15807605,0.10684922,14.861025,7.115526,-2.602973e+07,,954
297,0.0,0.67226136,-0.1684411,11.453129,-8.6711445,-2.5920322e+07,,953
298,0.0,-0.14044386,-0.343873,9.50738,2.46848,-2.5756392e+07,,952
299,0.0,-0.83230627,0.16321717,15.607495,2.597391,-2.5705554e+07,,951
300,0.0,-0.5952991,0.024086377,13.184271,-2.8378375,-2.563369e+07,-2.7165802e+08,1000
301,0.0,-0.4248236,0.18189445,14.539491,-5.505055,-2.5551664e+07,-1.0384424e+08,999
302,0.0,-1.1855596,0.7607549,24.35074,6.9811544,-2.5438528e+07,,998
