,,phi_1,theta_1,theta_2,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
120,0.0,-0.4618583,-0.06117947,-0.69569975,12.73193,-3.9368145,9.433986,-3.4672573e+08,,980
121,0.0,-0.5755904,-0.09503964,-0.76726794,12.321225,2.0151103,-3.19988,-3.438117e+08,,979
122,0.0,-0.32741615,-0.93189603,0.55943215,4.4403987,3.8291938,2.2357538,-3.4015987e+08,,978
123,0.0,0.6544793,-0.8107859,-0.03064265,5.2937717,4.4991565,-7.705117,-3.3969606e+08,,977
124,0.0,-0.63258636,-0.8203163,0.39334843,5.2230268,-3.2916439,-7.4658093,-3.283075e+08,,976
125,0.0,0.78597623,-0.44521227,-0.50809723,8.470523,3.4645612,4.319962,-3.2636573e+08,,975
126,0.0,-0.6121764,-0.6064127,-0.030318584,6.959104,-2.8121402,-3.4760745,-3.2594195e+08,,974
127,0.0,0.70690864,-0.8560661,0.08441669,4.963137,6.9183936,5.630852,-3.258624e+08,,973
128,0.0,0.7129973,-0.5693712,-0.1959103,7.291138,10.721384,-0.96309155,-3.2530448e+08,,972
129,0.0,-0.7156404,-0.43312436,0.30395713,8.590741,7.6502304,-5.705869,-3.1506262e+08,,971
130,0.0,0.64885557,-1.017558,0.20489027,3.896006,-3.660238,2.8347125,-3.1165837e+08,,970
131,0.0,0.23024572,-0.44386882,-0.5063821,8.483837,-1.001459,-7.8632793,-3.094946e+08,,969
132,0.0,-0.38556468,-0.38246495,-0.032752436,9.104801,-6.664005,2.696391,-3.0657405e+08,,968
133,0.0,-0.5519495,-0.48977873,-0.493005,8.035511,0.1744008,-2.4806514,-2.908766e+08,,967
134,0.0,-0.28229874,-0.07446456,-0.09099968,8.457462,-9.092687,5.005507,-2.786448e+08,-5.268805e+08,966
135,0.0,-0.7673835,-0.4686605,-0.20080735,8.240027,2.5325875,1.8106745,-2.731011e+08,,965
136,0.0,-0.3398462,-0.46655485,-0.22658528,8.260581,-2.927608,-1.127332,-2.4200549e+08,,964
137,0.0,0.20655331,-0.8865544,0.90103066,4.7483187,-9.152898,-1.8938185,-2.3302291e+08,,963
138,0.0,0.9256291,-1.0576007,0.11991076,3.6580515,-4.6414447,-2.8449855,-2.2982029e+08,,962
139,0.0,-0.36922517,-0.8024931,0.16152827,5.3558292,2.0811272,6.4899645,-2.22647e+08,,961
140,0.0,-0.36131042,-0.680196,-0.09006346,6.3252354,-1.5819334,2.0621078,-2.2171114e+08,,960
141,0.0,-0.15921369,-0.93058735,0.4254318,2.2107518,1.3885738,6.596297,-2.2056445e+08,-3.197771e+09,959
142,0.0,-0.9632061,0.11445354,-0.58421403,14.960815,5.941513,-2.146273,-2.1950026e+08,,958
143,0.0,0.16328773,0.16632217,-0.61158293,15.649062,14.988739,9.131717,-2.1189968e+08,,957
144,0.0,-0.45490304,-0.20986144,-0.48731956,10.977028,3.296751,-5.80582,-2.102238e+08,,956
145,0.0,0.50365204,-0.5162207,-0.0687126,7.783565,9.26299,3.0948398,-2.060291e+08,,955
146,0.0,-0.5406391,-0.76505387,0.6120908,5.6418104,-4.383956,4.5394654,-2.0475078e+08,,954
147,0.0,0.044610072,-0.058816385,-0.7612028,12.760831,-3.445547,2.3548622,-2.034337e+08,,953
148,0.0,-0.59011644,-0.5681506,0.5512462,7.3022366,-6.328423,3.8950279,-2.0131411e+08,,952
149,0.0,-0.64275926,-0.57498,0.64353555,7.240272,6.5436997,6.1207943,-1.9746694e+08,,951
150,0.0,0.19155647,-0.64978033,0.21651569,6.582082,6.3482347,4.425865,-1.9325373e+08,,1000
151,0.0,0.59937805,0.00017428288,-0.95824516,13.492107,2.0862653,-7.044573,-1.8548242e+08,,999
152,0.0,-0.3461802,-0.5785534,0.5971049,7.2079744,-7.3312435,-9.024462,-1.8482307e+08,,998
153,0.0,0.2891173,0.0010145461,-0.8374769,13.502659,4.208902,-15.511832,-1.7992131e+08,,997
154,0.0,0.834511,-0.7406821,-0.03237394,5.833091,10.482581,-1.9963765,-1.7268298e+08,,996
155,0.0,-0.34996158,-0.7151537,0.13646169,6.0377736,2.4436352,0.0038879355,-1.7119555e+08,,995
156,0.0,-0.15258798,-0.18684258,-0.25317708,11.240372,-6.958607,8.033132,-1.6526013e+08,,994
157,0.0,0.5549347,-0.8512223,0.26170138,5.4361644,-6.3669233,0.6849136,-1.6423054e+08,-5.268805e+08,993
158,0.0,0.43726224,-1.2421726,0.96343595,2.6925483,-4.3676248,5.0928416,-1.6368128e+08,,992
