,,phi_1,phi_2,sigma,mu,init_y_1,init_y_2,logL,logL_birth,nlive
labels,,$\phi_1$,$\phi_2$,$\sigma$,$\mu$,$y_1$,$y_2$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
101,0.0,-1.6427283,-0.96230567,4.2415814,-4.7003865,-82.273506,29.155027,-66274.086,,999
102,0.0,0.58044946,-0.61798227,6.8572836,-95.26133,-18.18576,29.604717,-64258.363,,998
103,0.0,-0.49279916,-0.55629784,7.410517,75.744835,37.53451,-13.440542,-64251.027,,997
104,0.0,0.4169235,-0.86693025,4.8858705,-41.14941,-21.062464,-9.339879,-64166.004,,996
105,0.0,0.23308338,-0.6121836,6.9082026,-67.48198,22.673271,21.760311,-62732.504,,995
106,0.0,-0.4225163,-0.62524605,6.7938175,-39.08691,86.993126,22.689285,-61954.895,,994
107,0.0,-0.7993433,-0.79237527,5.432177,49.471382,114.17857,-6.5723886,-60927.457,,993
108,0.0,-0.22558133,-0.26318803,10.379094,-97.0725,62.031906,23.149172,-59946.9,,992
109,0.0,-0.93591183,-0.9468115,4.3421125,-8.865499,31.764439,-29.101679,-59098.695,,991
110,0.0,0.5846835,-0.98913056,4.0712934,-31.042936,45.339134,18.949959,-58653.96,,990
111,0.0,-0.21412429,-0.6021499,6.996846,-46.105896,1.2448694,75.68028,-58515.03,,989
112,0.0,-1.0126966,-0.5616331,6.7156043,-26.039127,-36.02969,3.4799912,-57634.227,-137824.77,988
113,0.0,0.38194308,-0.7410092,5.830497,-52.43882,41.813637,-31.787268,-57260.887,,987
114,0.0,0.61873525,-0.61813706,6.8559275,122.24542,49.36361,-110.35688,-56297.086,,986
115,0.0,-0.9020852,-0.5106846,7.8359337,-35.439724,18.614151,-64.212975,-56199.11,,985
116,0.0,-1.0616302,-0.68335557,6.2989135,50.822685,-51.36184,-38.255417,-55910.188,,984
117,0.0,0.8186168,-0.9995366,4.0065117,-36.91327,-40.5102,-24.552696,-54245.836,,983
118,0.0,0.25343952,-0.6786697,6.3379745,-52.981766,1.196178,-64.131165,-54172.094,,982
119,0.0,-0.7799439,-0.08554384,12.435761,-86.51138,129.98732,-60.130753,-54150.723,,981
120,0.0,-0.398429,-0.14022647,11.444881,-98.42336,78.03381,-18.385437,-54130.652,-68144.57,980
121,0.0,-0.4199284,-0.69143915,3.2984395,38.716934,-101.79347,6.329829,-52960.56,-137824.77,979
122,0.0,1.0022169,-0.88036865,4.7913957,97.71639,-92.21928,-47.860413,-52904.035,,978
123,0.0,-0.53220123,-0.9467338,4.3426204,-10.531747,21.635094,-58.47952,-50006.29,,977
124,0.0,-0.6356736,-0.1838118,11.275276,-75.46296,38.615376,62.15136,-49794.13,,976
