,,phi_1,theta_1,theta_2,theta_3,theta_4,theta_5,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,
73,0.0,-0.9368933,-0.5362703,0.6540879,-0.4317546,0.08381547,-0.5873638,13.082231,5.048234,4.6249895,-9.244504e+09,-2.0154634e+10,977
74,0.0,-0.93298346,-0.7750756,0.69853455,-0.35392302,0.31000748,-0.09759858,5.5643263,8.982637,4.396104,-9.095944e+09,,976
75,0.0,-0.9532202,-1.0290891,0.629839,0.2128243,-0.24840674,0.19586019,3.826413,-5.861623,4.3561487,-8.852356e+09,,975
76,0.0,-0.85124433,0.15678953,-0.41173336,-0.034470387,-0.15166567,-0.3566048,15.521593,6.7025456,2.078986,-8.637852e+09,,974
77,0.0,-0.9412835,-1.1500974,0.5030164,0.39085436,-0.5408404,0.41143462,3.1477067,3.8657703,6.2072606,-8.6109e+09,,973
78,0.0,0.06276733,-0.43942538,0.34433442,0.06151636,-0.6717269,0.04461104,10.703559,15.08445,0.69802666,-8.549633e+09,-2.0154634e+10,972
79,0.0,-0.7606301,-0.68795234,-0.3847855,0.300858,-0.10312001,-0.062500946,6.260739,-0.8687133,1.367763,-8.384846e+09,,971
80,0.0,0.6493801,-0.7660669,-0.28507316,-0.29783964,0.6887444,-0.23182055,5.633948,6.670295,-2.1788747,-8.335838e+09,,970
81,0.0,-0.35506308,-0.6731278,0.64226323,-0.89002305,0.28895527,-0.22830248,6.384365,2.4923682,4.739374,-7.935815e+09,,969
82,0.0,-0.15793355,-0.5022368,-0.36964333,-0.72173196,-0.04774632,0.6600006,7.916232,-0.4827664,-7.0566635,-7.9035494e+09,,968
