,,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\theta_6$,$\theta_7$,$\theta_8$,$\theta_9$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,
134,0.0,0.43648908,0.8621281,0.16196333,-0.05085597,-0.37657964,-0.80308574,-0.6387238,-0.37009,-0.21567653,25.95886,2.6417356,-2286.3892,,966
135,0.0,-0.8432887,-0.20860186,-0.15680751,0.51881593,0.8299479,-0.57252264,-0.11453279,-0.29883343,0.44563714,10.991356,11.838137,-2263.7095,,965
136,0.0,-0.1278661,-0.16407225,-0.5065883,0.34958756,-0.379342,0.08064599,0.2350188,0.22870505,0.18023558,11.50393,18.01388,-2251.5227,,964
137,0.0,0.2390943,-0.14882888,-0.39281306,-0.15409307,-0.13142729,-0.25791332,0.20971192,-0.2815328,0.23197758,11.682054,-5.2781787,-2250.8364,,963
138,0.0,0.31039852,-0.83406514,-0.06863742,0.23352186,0.07533278,-0.12483052,-0.48186794,0.0059175105,0.097038195,5.122054,-1.360405,-2237.1404,,962
139,0.0,-0.31691387,-0.6361477,-0.79901296,0.69346094,0.7640555,-0.053613,-0.3211311,-0.17566954,0.1892707,6.6992326,5.5236144,-2236.5703,,961
140,0.0,-0.30248022,-0.73198587,-0.13265862,0.16094916,0.38245448,0.3274604,-0.7934464,0.07796528,0.27254292,5.9023194,4.131539,-2235.7551,,960
141,0.0,-0.22855766,-1.385313,-0.03863265,1.0078403,0.113909155,-0.39254096,-0.3249284,0.059552897,0.32201043,2.0839074,1.6710224,-2182.608,,959
142,0.0,0.7445649,-0.045752253,0.46377987,-0.13844065,-0.9157495,-0.2939826,-0.40258408,-0.20821342,0.16272663,12.921152,-6.4574513,-2175.01,,958
143,0.0,0.17880258,-0.31079283,0.19948289,0.37043446,-0.24681072,-0.5119991,0.20410182,-0.24084249,-0.28729525,9.859903,7.0887594,-2174.3447,,957
144,0.0,1.2215352,1.738267,1.0235676,0.10405207,-0.52842766,-0.5813152,-0.29020187,0.06357358,0.127277,40.85411,-5.25275,-2171.4204,,956
145,0.0,0.36619416,1.6904801,0.944425,1.1475928,1.3057247,0.65810555,1.0907922,0.34400502,0.4793456,40.006027,7.4208255,-2162.5562,,955
146,0.0,-0.46279666,0.20871593,-0.41109142,0.5554203,-0.45738816,0.57969284,-0.21959974,-0.2955567,-0.23966424,16.221182,-4.768137,-2161.2622,,954
147,0.0,0.033009406,-0.17114401,-0.17875172,-0.60404086,-0.27177966,0.2622315,-0.06711505,0.38561088,-0.075313464,11.421753,-4.67864,-2159.8376,,953
148,0.0,0.58590275,-0.15819709,-0.51034546,-0.098321296,0.03658508,0.016668655,-0.05638928,-0.20604922,-0.16441056,11.572426,-7.2498627,-2157.227,,952
149,0.0,0.22098736,0.40018722,0.09426991,-0.041357618,0.17335537,-0.41149527,-0.747404,-0.22029312,-0.23980479,18.905962,-4.5697618,-2146.3591,,951
150,0.0,1.4968024,0.64037293,-0.31111053,-0.42550495,-0.5022202,-0.94280905,-0.93976414,-0.1865437,0.31853667,22.482357,5.018498,-2135.7537,,1000
151,0.0,-0.50550455,-0.45238128,-0.29113385,0.278928,0.30828422,0.26247925,-0.53217745,-0.07791839,0.43696374,8.399672,6.8204145,-2118.074,,999
